last_two,tokens
rp,di is sc ce er rp dis isc sce cer erp in nd di is sc ce er rp ind ndi dis isc sce cer erp
oc,do oc doc in nd do oc ind ndo doc un nd do oc und ndo doc
wa,dw wa dwa
id,el li id eli lid fl lu ui id flu lui uid in na ai id ina nai aid un ne el li id une nel eli lid
ad,ev va ad eva vad in ne ev va ad ine nev eva vad no on ne ev va ad non one nev eva vad un ne ev va ad une nev eva vad
lu,fl lu flu
fo,fo
nn,hi in nn hin inn
it,ig gn ni it ign gni nit im mp pe en ni it imp mpe pen eni nit no on ni ig gn ni it non oni nig ign gni nit un ni ig gn ni it uni nig ign gni nit
eg,il ll le eg ill lle leg le eg leg un nl le eg unl nle leg
rd,im mp pe er rd imp mpe per erd
un,im mp pu un imp mpu pun un
ic,in nd di ic ind ndi dic su ub bj ji ic sub ubj bji jic
gu,in ne ex xt ti in ng gu ine nex ext xti tin ing ngu
en,in nf fe en inf nfe fen in nt te en int nte ten pe en pen te en ten un nt te en unt nte ten
er,in nf fe er inf nfe fer re ep pe er rep epe per
nt,in nv ve en nt inv nve ven ent no on np pr re ev ve en nt non onp npr pre rev eve ven ent pr re ev ve en nt pre rev eve ven ent un np pr re ev ve en nt unp npr pre rev eve ven ent
ix,mi ix mix
in,qu ui in qui uin re ed de et te er rm mi in red ede det ete ter erm rmi min
lv,re es so ol lv res eso sol olv
ub,ru ub rub
th,th
ur,th hu ur thu hur
ut,ut
wr,wr
